"Titre","Numéro de publication","Date de publication","Inventeur(s)","Demandeur(s)","Classification internationale","Classification coopérative des brevets","Numéro de demande","Date de dépôt","Numéro(s) de priorité","BREVETS CITÉS DANS LE RAPPORT DE RECHERCHE","LITTÉRATURE CITÉE DANS LE RAPPORT DE RECHERCHE","BREVETS CITÉS AU COURS DE L`EXAMEN","LITTÉRATURE CITÉE AU COURS DE L`EXAMEN","AUTRES CITATIONS BREVETS","AUTRES CITATIONS DE LITTÉRATURE","BREVETS UTILISÉS AU COURS DE LA PROCÉDURE D`OPPOSITION","LITTÉRATURE UTILISÉE AU COURS DE LA PROCÉDURE D`OPPOSITION","BREVETS CITÉS PAR LE DEMANDEUR","LITTÉRATURE CITÉE PAR LE DEMANDEUR","CITATION DU RAPPORT DE RECHERCHE INTERNATIONALE","CITATION LITTÉRATURE NON-BREVET DU RAPPORT DE RECHERCHE INTERNATIONALE","CITATION DU RAPPORT SUPPLÉMENTAIRE DE RECHERCHE INTERNATIONALE","CITATION LITTÉRATURE NON-BREVET DU RAPPORT SUPPLÉMENTAIRE DE RECHERCHE INTERNATIONALE"
"NANOPARTICLES FOR EXPRESSION OF GENES OF INTEREST AND/OR REGULATION OF SIGNALING PATHWAYS.","MX2022008592 (A)","2022-11-16","APRIKYAN ANDRANIK ANDREW [US]","STEMGENICS INC [US]","A61K31/7105; A61K47/50; A61K47/69; B82Y5/00","A61K47/549; A61K47/62; A61K47/6929; A61K48/0025; A61K48/0041; B82Y5/00; C12N9/1276; C12N15/111; C12N15/1137; C12N15/63; C12N15/87; A61K48/0041; B82Y5/00; C12N2310/14; C12N2310/351; C12N2320/32","MX20220008592","20210108","US202062959790P 20200110; US202062960626P 20200113; WO2021US12820 20210108","","","","","","","","","","","","","",""
"Composition of plant extracts to alleviate the effects of aging by preventing or delaying cellular senescence (Machine-translation by Google Translate, not legally binding)","ES2952437 (A1)","2023-10-31","CATURLA CERNUDA NURIA [ES]","MONTELOEDER S L [ES]","A61K8/97; A61Q19/08","A61K8/97; A61Q19/08; A61Q19/08","ES20220030255","20220323","ES20220030255 20220323","WO2012154949 (A2); US2014106001 (A1); WO2016141315 (A1); CN108904436 (A)","","","","","","","","","","","","",""
"PHYSICAL CHARACTERIZATION OF TELOMERES","AU2021386895 (A1)","2023-06-22","BISHT PRAKHAR;  AVARELLO MARIO DAVIDE MARIA;  ALTUNLU ENGIN;  KULAKOVSKYI ANDRII;  BENSIMON AARON","GENOMIC VISION [FR]","C12Q1/6818; C12Q1/6883","C12N15/1006; C12Q1/6809; C12Q1/6818; C12Q1/6883; C12Q1/6886; G01N33/5091; G16B25/00; C12Q2600/106; C12Q2600/112; C12Q2600/156; C12Q1/6818; C12Q2563/107; C12Q2565/619","AU20210386895","20211123","US202063118314P 20201125; WO2021IB00797 20211123","","","","","","","","","","","","","",""
"TELOMERE EXTENSION AND SUPPORTING REGIMEN FOR PROLONGED HEALTH","WO2023102664 (A1)","2023-06-15","VAN WYNSBERGHE ERINN [CA]","VAN WYNSBERGHE ERINN [CA]","A61K31/7088; A61K31/7105; A61K35/545; A61K38/46; A61P43/00; C12N5/071; C12N15/10; C12N15/113; C12Q1/68","A61K31/7105; A61K35/545; A61P43/00; C12N15/102; A61K48/005; C12N15/113; C12N2310/20","WO2022CA51802","20221209","US202163288432P 20211210","","","","","","","","","","","","XP093073175; XP093073173; XP036664877; XP093073172","",""
"METHODS OF ASSESSING SMOLDERING MULTIPLE MYELOMA","WO2023087105 (A1)","2023-05-25","MAI SABINE [CA];  LOUIS SHERIF [CA];  KNECHT HANS [CA]","TELO GENOMICS HOLDINGS CORP [CA]","C12Q1/6809; C12Q1/6841; G16B15/10; G16B25/00","","WO2022CA51694","20221116","CA20213139296 20211116","","","","","","","","","","","","XP093069375","",""
"TREATMENT OF ALT CANCERS","US2023149507 (A1)","2023-05-18","PICKETT HILDA AMELIA [AU];  AZZALIN CLAUS MARIA [PT];  SOBINOFF ALEXANDER PETER [AU]","INST DE MEDICINA MOLECULAR JOAO LOBO ANTUNES [PT];  CHILDRENS MEDICAL RES INSTITUTE [AU]","A61K31/496; A61K38/17; A61K45/06; A61P35/00; C12N15/113; G01N33/50","A61K31/495; A61K31/496; A61K31/7105; A61K31/713; A61K38/00; A61K38/10; A61K38/16; A61K38/1709; A61K45/00; A61K45/06; A61P35/00; C07K16/18; C12N5/0693; C12N9/1025; C12N15/00; C12N15/113; C12Q1/48; C12Y306/03; G01N33/5011; A61K2039/505; C12N2310/11; C12N2310/14","US202017612547","20200523","AU20190901766 20190524; GB20190007518 20190528; WO2020PT50021 20200523","","","","","","","","","","","","","",""
"Application of EPAS1 activator M1001 in preparation of medicine for preventing or delaying senescence","CN116098896 (A)","2023-05-12","ZHAO BO;  LI KAIQIN","KUNMING INST ZOOLOGY CAS","A61K31/428; A61P39/06","A61K31/428; A61P39/06","CN202210283438","20220322","CN202210283438 20220322","","","","","","","","","","","","","",""
"Software testing method, system and equipment based on genetic algorithm and storage medium","CN115904979 (A)","2023-04-04","OH JI-WOONG;  XU CHUNMEI;  OH HO-TAEK;  GAO WENREN;  YANG MEIJUAN","LINEWELL SOFTWARE CO LTD","G06F3/0484; G06F11/36; G06N3/12; G16B30/00","Y02D10/00","CN202211493073","20221125","CN202211493073 20221125","","","","","","","","","","","","","",""
"A METHOD FOR IDENTIFYING AN INHIBITOR OF ALTERNATIVE LENGTHENING OF TELOMERES","WO2023180459 (A1)","2023-09-28","YUN MAXIMINA HEE [DE]","UNIV DRESDEN TECH [DE]","C12N5/07; C12N9/12; G01N33/50","C12N9/1276; C12Y207/07049; G01N33/5011; G01N33/5088; C12Q1/6841","WO2023EP57502","20230323","EP20220163700 20220323","","","","","","","","","","","","XP055957746; XP055957560; XP037149918; XP055957743; XP055323999; XP019499053","",""
"PEPTIDES AND COMPOSITIONS FOR USE IN COSMETICS, FOOD AND MEDICINE","WO2023180281 (A1)","2023-09-28","GRAU-CAMPISTANY ARIADNA [ES];  PASTOR SILVIA [ES];  CARULLA PATRICIA [ES];  ESCUDERO JUAN CARLOS [ES];  KLEIN MARCO JAN [ES]","LIPOTRUE S L [ES]","A61K8/64; A61P17/00; C07K7/06; A23L33/18; A61K38/00","A61K8/64; A61P17/00; A61Q19/08; C07K7/06; A23L33/18; A61K38/00","WO2023EP57138","20230321","EP20220382267 20220323","","","","","","","","","","XP055959504; XP002341606; XP071777033; XP019562689; XP086276363; XP071777033; XP055143630; XP028563547; XP026471179; XP000610908","US2003113388 (A1); WO03099196 (A2); WO2007101227 (A2); KR20140089295 (A); KR20180027307 (A); WO2019166347 (A1); US2021040152 (A1)","","",""
